epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.64167,0.93648,4.26201,1.51107,0,0,0,0,0.58405,3.83249,1.09298,7.106e-05,7.106e-05,7.106e-05
2,7.85814,0.4767,3.98842,1.22357,0.02398,0.16,0.04444,0.03586,0.57266,3.74388,1.03076,0.000142472,0.000142472,0.000142472
3,10.9304,0.44749,3.76849,1.17952,0.06595,0.44,0.19552,0.17439,0.47315,3.60097,1.03534,0.000210942,0.000210942,0.000210942
4,13.9637,0.43485,3.42762,1.1507,0.75965,0.25998,0.34152,0.29776,0.56488,2.90237,1.07891,0.000276471,0.000276471,0.000276471
5,16.9196,0.46363,3.03252,1.1736,0.79483,0.34274,0.43199,0.33008,0.74236,2.74689,1.20219,0.000297418,0.000297418,0.000297418
6,19.9297,0.42979,2.69328,1.12584,0.73381,0.42372,0.53105,0.45049,0.57856,2.5829,1.05627,0.000291023,0.000291023,0.000291023
7,22.9581,0.40821,2.37288,1.12749,0.75105,0.47555,0.60436,0.55429,0.49722,2.16411,0.98667,0.000284628,0.000284628,0.000284628
8,25.8684,0.39068,2.18288,1.10494,0.90422,0.43296,0.60495,0.55479,0.47591,1.99298,0.94301,0.000278232,0.000278232,0.000278232
9,28.9459,0.39858,1.84298,1.12841,0.66736,0.5564,0.58906,0.54971,0.46398,2.01535,0.91346,0.000271837,0.000271837,0.000271837
10,31.9619,0.39162,1.86831,1.10888,0.61497,0.64,0.74186,0.67719,0.49251,1.78062,0.89778,0.000265441,0.000265441,0.000265441
11,34.9584,0.3916,1.66959,1.09191,0.50006,0.77326,0.76989,0.72257,0.4519,1.78051,0.87747,0.000259046,0.000259046,0.000259046
12,37.9334,0.35492,1.48462,1.08677,0.50976,0.6999,0.80466,0.72792,0.52689,1.71723,0.93058,0.000252651,0.000252651,0.000252651
13,40.8436,0.33941,1.44408,1.05938,0.63576,0.72,0.79801,0.71765,0.52726,1.5552,0.94613,0.000246255,0.000246255,0.000246255
14,43.7624,0.34541,1.43579,1.06472,0.57735,0.8,0.82182,0.763,0.42006,1.2643,0.85877,0.00023986,0.00023986,0.00023986
15,46.6798,0.33233,1.34276,1.05679,0.66409,0.77761,0.90213,0.83254,0.49421,1.24265,0.89854,0.000233464,0.000233464,0.000233464
16,49.66,0.32876,1.27343,1.05156,0.73862,0.8,0.86366,0.78098,0.55836,1.23897,0.94009,0.000227069,0.000227069,0.000227069
17,52.5905,0.32125,1.18117,1.04728,0.81403,0.68,0.86044,0.78214,0.468,1.26376,0.86258,0.000220674,0.000220674,0.000220674
18,55.579,0.32175,1.12123,1.03937,0.73425,0.66121,0.83176,0.76038,0.45201,1.42801,0.84678,0.000214278,0.000214278,0.000214278
19,58.5244,0.28785,1.0641,1.02333,0.67262,0.8,0.92663,0.85801,0.40947,1.11216,0.80953,0.000207883,0.000207883,0.000207883
20,61.5195,0.32025,1.15412,1.06184,0.7747,0.74,0.89326,0.82468,0.42413,1.07654,0.83103,0.000201487,0.000201487,0.000201487
21,64.474,0.30504,1.1019,1.04281,0.84647,0.76,0.88051,0.79301,0.46368,1.10919,0.84301,0.000195092,0.000195092,0.000195092
22,67.4082,0.31632,1.09594,1.03877,0.81148,0.7,0.86118,0.77768,0.43614,1.33465,0.85225,0.000188697,0.000188697,0.000188697
23,70.3893,0.29718,0.99266,1.01622,0.71994,0.82,0.8695,0.78402,0.48006,1.2064,0.89584,0.000182301,0.000182301,0.000182301
24,73.3572,0.29013,0.99617,1.02266,0.71129,0.81489,0.87459,0.80807,0.42169,1.16613,0.82521,0.000175906,0.000175906,0.000175906
